0,360002	49778,995566	0,360002	1878410,531147
0,364446	49266,756216	0,364446	1901899,666795
0,368891	48747,452960	0,368891	1925113,373708
0,373335	48221,056156	0,373335	1948036,484480
0,377779	47687,542547	0,377779	1970653,634076
0,382223	47146,895462	0,382223	1992949,268199
0,386668	46599,104115	0,386668	2014906,587712
0,391112	46044,162189	0,391112	2036504,070032
0,395556	45482,081027	0,395556	2057733,222053
0,400001	44912,871822	0,400001	2078577,879926
0,419048	42393,260134	0,419048	2163167,933369
0,438095	39744,944929	0,438095	2238913,926156
0,457143	36968,363969	0,457143	2303394,367480
0,476191	34082,261752	0,476191	2356022,774862
0,495238	31099,702328	0,495238	2395552,448031
0,514286	28036,976128	0,514286	2420798,758751
0,533333	24913,633941	0,533333	2430698,793959
0,552381	21752,607656	0,552381	2424344,051762
0,571429	18580,541336	0,571429	2401012,048823
0,590476	15428,711099	0,590476	2360195,767777
0,609524	12335,589758	0,609524	2301629,864627
0,628571	9354,472492	0,628571	2225312,596877
0,647619	6579,515029	0,647619	2131522,526682
0,666667	4252,778068	0,666667	2020829,199726
0,685714	3139,979756	0,685714	1894097,199001
0,704762	4007,976457	0,704762	1752483,224695
0,723810	5810,692621	0,723810	1597426,169672
0,742857	7731,880906	0,742857	1430630,588826
0,761905	9531,863759	0,761905	1254044,634784
0,780952	11126,938445	0,780952	1069834,870038
0,800000	12478,019170	0,800000	880363,794048
0,819048	13563,827426	0,819048	688187,166560
0,838095	14372,911069	0,838095	496136,401974
0,857143	14900,783530	0,857143	307852,499066
0,876190	15148,708286	0,876190	132975,267555
0,895238	15123,064036	0,895238	97128,224553
0,914286	14834,915808	0,914286	247692,523060
0,933333	14299,650489	0,933333	402676,816276
0,952381	13536,739729	0,952381	546350,647544
0,971429	12569,822827	0,971429	675428,549404
0,990476	11425,447739	0,990476	788119,026596
1,009524	10133,310965	1,009524	883088,583393
1,028571	8726,618009	1,028571	959393,532808
1,047619	7243,421970	1,047619	1016438,596717
1,066667	5730,942685	1,066667	1053960,208875
1,085714	4259,498179	1,085714	1072017,520571
1,104762	2971,920632	1,104762	1070978,921679
1,123810	2231,322347	1,123810	1051509,726316
1,142857	2505,129449	1,142857	1014557,800493
1,161905	3476,676979	1,161905	961340,549781
1,180952	4638,436509	1,180952	893336,796031
1,200000	5785,896673	1,200000	812290,540298
1,219048	6840,426025	1,219048	720241,283452
1,238095	7763,285421	1,238095	619615,534540
1,257143	8531,668750	1,257143	513471,370171
1,276190	9131,302785	1,276190	406169,471926
1,295238	9553,807967	1,295238	305355,559997
1,314286	9795,664796	1,314286	227671,123250
1,333333	9857,816854	1,333333	204874,859956
1,352381	9745,585895	1,352381	250389,338759
1,371429	9468,804246	1,371429	333081,741809
1,390476	9042,181620	1,390476	426397,015011
1,409524	8486,013782	1,409524	518568,762420
1,428571	7827,452163	1,428571	604008,883316
1,447619	7102,698329	1,447619	679462,354916
1,466667	6360,571206	1,466667	742751,909035
1,485714	5667,382399	1,485714	792354,235209
1,504762	5110,145216	1,504762	827256,264595
1,523810	4787,334793	1,523810	846918,377808
1,542857	4772,402284	1,542857	851285,389758
1,561905	5066,720956	1,561905	840825,048778
1,580952	5598,211568	1,580952	816590,133600
1,600000	6267,900394	1,600000	780309,647720
1,677778	8923,288516	1,677778	578121,150692
1,755556	9810,777982	1,755556	571243,256936
1,833333	8903,525236	1,833333	802182,695184
1,911111	8194,806353	1,911111	945209,659132
1,988889	9337,696144	1,988889	912715,052222
2,066667	10811,584025	2,066667	845906,987536
2,144444	11164,115853	2,144444	912084,027665
2,222222	10855,998498	2,222222	1022310,564061
2,300000	10984,970076	2,300000	1045120,716820
2,377778	11451,276174	2,377778	1018032,347632
2,455556	11572,346416	2,455556	1032501,290577
2,533333	11483,573981	2,533333	1062087,809004
2,611111	11569,151100	2,611111	1046391,398135
2,688889	11525,709880	2,688889	1019498,502970
2,766667	11064,490389	2,766667	1025854,274939
2,844444	10658,069928	2,844444	1018134,918132
2,922222	10656,755601	2,922222	956871,797004
3,000000	10480,021971	3,000000	895244,359895
