0,360002	0,000000	0,360002	0,000000	0,360002	0,000000	0,360002	0,000000	0,360002	0,000000	0,360002	0,000000	0,360002	0,000000
0,389336	0,000002	0,389336	0,000003	0,389336	0,000000	0,389336	0,000000	0,389336	0,000000	0,389336	0,000000	0,389336	0,000000
0,418669	0,000062	0,418669	0,000105	0,418669	0,000019	0,418669	0,000003	0,418669	0,000006	0,418669	0,000001	0,418669	0,000000
0,448002	0,000799	0,448002	0,001425	0,448002	0,000286	0,448002	0,000058	0,448002	0,000093	0,448002	0,000019	0,448002	0,000004
0,477335	0,005629	0,477335	0,010662	0,477335	0,002444	0,477335	0,000561	0,477335	0,000828	0,477335	0,000190	0,477335	0,000044
0,506669	0,022486	0,506669	0,044388	0,506669	0,011397	0,506669	0,002926	0,506669	0,003850	0,506669	0,000989	0,506669	0,000254
0,536002	0,064516	0,536002	0,130774	0,536002	0,037571	0,536002	0,010794	0,536002	0,012081	0,536002	0,003471	0,536002	0,000997
0,565335	0,142191	0,565335	0,287639	0,565335	0,091931	0,565335	0,029382	0,565335	0,026368	0,565335	0,008427	0,565335	0,002693
0,594669	0,257788	0,594669	0,503051	0,594669	0,177895	0,594669	0,062909	0,594669	0,041713	0,594669	0,014751	0,594669	0,005216
0,624002	0,403745	0,624002	0,723010	0,624002	0,281525	0,624002	0,109620	0,624002	0,046622	0,624002	0,018154	0,624002	0,007069
0,653335	0,565883	0,653335	0,868376	0,653335	0,370664	0,653335	0,158217	0,653335	0,033109	0,653335	0,014133	0,653335	0,006032
0,682669	0,728357	0,682669	0,879310	0,682669	0,409790	0,682669	0,190977	0,682669	0,014982	0,682669	0,006982	0,682669	0,003254
0,712002	0,877594	0,712002	0,741461	0,712002	0,375881	0,712002	0,190551	0,712002	0,033729	0,712002	0,017099	0,712002	0,008668
0,741335	1,004248	0,741335	0,528033	0,741335	0,290195	0,741335	0,159485	0,741335	0,143919	0,741335	0,079095	0,741335	0,043469
0,770669	1,103447	0,770669	0,313892	0,770669	0,186430	0,770669	0,110726	0,770669	0,363341	0,770669	0,215800	0,770669	0,128170
0,800002	1,174052	0,800002	0,166669	0,800002	0,106669	0,800002	0,068268	0,800002	0,679327	0,800002	0,434772	0,800002	0,278256
0,829335	1,217557	0,829335	0,092404	0,829335	0,063555	0,829335	0,043713	0,829335	1,014688	0,829335	0,697900	0,829335	0,480014
0,858668	1,237029	0,858668	0,078425	0,858668	0,057824	0,858668	0,042634	0,858668	1,332605	0,858668	0,982545	0,858668	0,724443
0,888002	1,236266	0,888002	0,092715	0,888002	0,073111	0,888002	0,057651	0,888002	1,560400	0,888002	1,230450	0,888002	0,970268
0,917335	1,219207	0,917335	0,115311	0,917335	0,097035	0,917335	0,081655	0,917335	1,699030	0,917335	1,429740	0,917335	1,203132
0,946668	1,189567	0,946668	0,130001	0,946668	0,116505	0,946668	0,104409	0,946668	1,731330	0,946668	1,551585	0,946668	1,390502
0,976002	1,150647	0,976002	0,133268	0,976002	0,126948	0,976002	0,120928	0,976002	1,683636	0,976002	1,603797	0,976002	1,527744
1,005335	1,105250	1,005335	0,125083	1,005335	0,126421	1,005335	0,127774	1,005335	1,574994	1,005335	1,591844	1,005335	1,608875
1,034668	1,055680	1,034668	0,108907	1,034668	0,116589	1,034668	0,124813	1,034668	1,430130	1,034668	1,531010	1,034668	1,639005
1,064002	1,003779	1,064002	0,088884	1,064002	0,100625	1,064002	0,113918	1,064002	1,276297	1,064002	1,444895	1,064002	1,635765
1,093335	0,950979	1,093335	0,068039	1,093335	0,081333	1,093335	0,097224	1,093335	1,123581	1,093335	1,343108	1,093335	1,605525
1,122668	0,898368	1,122668	0,049150	1,122668	0,061948	1,122668	0,078078	1,122668	0,993822	1,122668	1,252598	1,122668	1,578754
1,152002	0,846752	1,152002	0,033293	1,152002	0,044184	1,152002	0,058636	1,152002	0,881554	1,152002	1,169916	1,152002	1,552603
1,181335	0,796706	1,181335	0,021172	1,181335	0,029546	1,181335	0,041231	1,181335	0,799850	1,181335	1,116224	1,181335	1,557746
1,210668	0,748622	1,210668	0,012583	1,210668	0,018441	1,210668	0,027027	1,210668	0,735401	1,210668	1,077879	1,210668	1,579863
1,240002	0,702751	1,240002	0,007061	1,240002	0,010856	1,240002	0,016690	1,240002	0,692886	1,240002	1,065371	1,240002	1,638113
1,269335	0,659233	1,269335	0,003937	1,269335	0,006343	1,269335	0,010220	1,269335	0,658486	1,269335	1,060959	1,269335	1,709431
1,298668	0,618141	1,298668	0,002522	1,298668	0,004254	1,298668	0,007174	1,298668	0,633311	1,298668	1,068095	1,298668	1,801383
1,328001	0,579467	1,328001	0,002178	1,328001	0,003842	1,328001	0,006775	1,328001	0,608309	1,328001	1,072805	1,328001	1,891993
1,357335	0,543175	1,357335	0,002399	1,357335	0,004421	1,357335	0,008145	1,357335	0,582797	1,357335	1,073712	1,357335	1,978159
1,386668	0,509187	1,386668	0,002809	1,386668	0,005401	1,386668	0,010386	1,386668	0,554611	1,386668	1,066431	1,386668	2,050587
1,416001	0,477421	1,416001	0,003156	1,416001	0,006329	1,416001	0,012690	1,416001	0,522493	1,416001	1,047618	1,416001	2,100529
1,445335	0,447758	1,445335	0,003331	1,445335	0,006958	1,445335	0,014536	1,445335	0,489765	1,445335	1,023109	1,445335	2,137266
1,474668	0,420090	1,474668	0,003264	1,474668	0,007099	1,474668	0,015437	1,474668	0,453815	1,474668	0,986885	1,474668	2,146123
1,504001	0,394305	1,504001	0,003017	1,504001	0,006825	1,504001	0,015438	1,504001	0,421220	1,504001	0,952801	1,504001	2,155248
1,533335	0,370282	1,533335	0,002612	1,533335	0,006142	1,533335	0,014439	1,533335	0,388041	1,533335	0,912320	1,533335	2,144962
1,562668	0,347906	1,562668	0,002158	1,562668	0,005270	1,562668	0,012868	1,562668	0,360502	1,562668	0,880308	1,562668	2,149637
1,592001	0,327067	1,592001	0,001697	1,592001	0,004301	1,592001	0,010899	1,592001	0,334153	1,592001	0,846893	1,592001	2,146417
1,621335	0,307659	1,621335	0,001246	1,621335	0,003275	1,621335	0,008608	1,621335	0,294048	1,621335	0,772958	1,621335	2,031874
1,650668	0,289591	1,650668	0,000944	1,650668	0,002573	1,650668	0,007010	1,650668	0,274312	1,650668	0,747412	1,650668	2,036512
1,680001	0,272737	1,680001	0,000791	1,680001	0,002233	1,680001	0,006304	1,680001	0,276698	1,680001	0,780951	1,680001	2,204154
1,709334	0,257051	1,709334	0,000638	1,709334	0,001865	1,709334	0,005448	1,709334	0,244109	1,709334	0,713211	1,709334	2,083832
1,738668	0,242414	1,738668	0,000612	1,738668	0,001849	1,738668	0,005590	1,738668	0,237827	1,738668	0,718951	1,738668	2,173428
1,768001	0,228763	1,768001	0,000617	1,768001	0,001928	1,768001	0,006028	1,768001	0,228214	1,768001	0,713325	1,768001	2,229660
1,797334	0,216031	1,797334	0,000605	1,797334	0,001954	1,797334	0,006313	1,797334	0,207865	1,797334	0,671471	1,797334	2,169124
1,826668	0,204137	1,826668	0,000659	1,826668	0,002197	1,826668	0,007333	1,826668	0,208951	1,826668	0,697228	1,826668	2,326549
1,856001	0,193025	1,856001	0,000617	1,856001	0,002124	1,856001	0,007316	1,856001	0,188150	1,856001	0,648116	1,856001	2,232564
1,885334	0,182648	1,885334	0,000584	1,885334	0,002075	1,885334	0,007377	1,885334	0,176715	1,885334	0,628130	1,885334	2,232729
1,914668	0,172939	1,914668	0,000572	1,914668	0,002097	1,914668	0,007687	1,914668	0,176492	1,914668	0,646951	1,914668	2,371527
1,944001	0,163851	1,944001	0,000474	1,944001	0,001791	1,944001	0,006766	1,944001	0,155642	1,944001	0,588170	1,944001	2,222724
1,973334	0,155339	1,973334	0,000425	1,973334	0,001655	1,973334	0,006445	1,973334	0,151841	1,973334	0,591277	1,973334	2,302462
2,002668	0,147376	2,002668	0,000371	2,002668	0,001488	2,002668	0,005967	2,002668	0,144692	2,002668	0,580253	2,002668	2,327030
2,032001	0,139915	2,032001	0,000311	2,032001	0,001283	2,032001	0,005298	2,032001	0,132633	2,032001	0,547589	2,032001	2,260954
2,061334	0,132900	2,061334	0,000291	2,061334	0,001236	2,061334	0,005252	2,061334	0,132433	2,061334	0,562677	2,061334	2,390825
