S_Wave_X;S_Wave_Y;S_Surge_X;S_Surge_Y;S_Sway_X;S_Sway_Y;S_Heave_X;S_Heave_Y;S_Roll_X;S_Roll_Y;S_Pitch_X;S_Pitch_Y;S_Yaw_X;S_Yaw_Y;S_Added_Res_X;S_Added_Res_Y;S_Wave_WF_X;S_Wave_WF_Y
1,252000;0,234271;1,252000;0,000000;1,252000;0,000000;1,252000;0,000069;1,252000;0,091653;1,252000;0,000793;1,252000;0,000000;1,252000;125,490294;0,857143;1,175996
1,282667;0,209079;1,282667;0,000000;1,282667;0,000000;1,282667;0,000034;1,282667;0,081279;1,282667;0,000730;1,282667;0,000000;1,282667;112,806375;0,876190;1,086034
1,313333;0,187060;1,313333;0,000000;1,313333;0,000000;1,313333;0,000121;1,313333;0,072289;1,313333;0,000503;1,313333;0,000000;1,313333;102,043642;0,895238;1,002186
1,344000;0,167624;1,344000;0,000000;1,344000;0,000000;1,344000;0,000232;1,344000;0,064412;1,344000;0,000306;1,344000;0,000000;1,344000;93,911744;0,914286;0,924372
1,374667;0,150500;1,374667;0,000000;1,374667;0,000000;1,374667;0,000258;1,374667;0,057541;1,374667;0,000263;1,374667;0,000000;1,374667;87,286446;0,933333;0,852386
1,405333;0,135384;1,405333;0,000000;1,405333;0,000000;1,405333;0,000199;1,405333;0,051507;1,405333;0,000347;1,405333;0,000000;1,405333;80,973237;0,952381;0,785965
1,436000;0,122027;1,436000;0,000000;1,436000;0,000000;1,436000;0,000111;1,436000;0,046221;1,436000;0,000331;1,436000;0,000000;1,436000;74,398795;0,971429;0,724797
1,466667;0,110213;1,466667;0,000000;1,466667;0,000000;1,466667;0,000054;1,466667;0,041566;1,466667;0,000262;1,466667;0,000000;1,466667;67,390695;0,990476;0,668567
1,497333;0,099720;1,497333;0,000000;1,497333;0,000000;1,497333;0,000020;1,497333;0,037465;1,497333;0,000248;1,497333;0,000000;1,497333;61,441402;1,009524;0,616895
1,528000;0,090383;1,528000;0,000000;1,528000;0,000000;1,528000;0,000016;1,528000;0,033828;1,528000;0,000278;1,528000;0,000000;1,528000;57,044851;1,028571;0,569475
